"ap_code","latitude","longitude","fishing_method","average_catch"
"AHH",54.376513,12.406816,"Boot",11.5
"AHH",54.376513,12.406816,"Land",2.35294117647059
"BAH",54.43392,13.030595,"Boot",3.82
"BAH",54.43392,13.030595,"Kutter",9.91666666666667
"BEH",54.148725,11.876173,"Boot",3.75
"BEH",54.148725,11.876173,"Land",1
"BLE",54.353807,10.865622,"Boot",2.28260869565217
"BOH",53.991005,11.201948,"Boot",4.25
"BOH",53.991005,11.201948,"Land",1.47058823529412
"BPH",54.117463,10.924308,"Land",1.77777777777778
"BST",54.418963,11.20086,"Boot",5.26618705035971
"BST",54.418963,11.20086,"Kutter",5.07708553326294
"BUS",54.153702,11.707745,"Land",1.35294117647059
"DAD",54.370897,10.913501,"Land",2.33333333333333
"DAH",54.218648,11.090205,"Land",1.125
"DRK",54.634071,13.242212,"Boot",5.25925925925926
"DRK",54.634071,13.242212,"Land",1.6
"DRW",54.633453,13.376499,"Land",2.5
"ECF",54.468211,9.840409,"Boot",6.36
"ECF",54.468211,9.840409,"Kutter",4.79510703363914
"ECF",54.468211,9.840409,"Land",2
"ELH",54.174872,11.99851,"Land",1.36
"FAH",54.730332,9.9822,"Boot",0
"FAH",54.730332,9.9822,"Land",0.82051282051282
"FLB",54.80111,9.438196,"Land",1.6
"FMS",54.402191,11.121404,"Land",0.516129032258065
"GEM",54.755167,9.848759,"Boot",3
"GLW",54.573613,13.469476,"Boot",4.8125
"GLW",54.573613,13.469476,"Land",1.22222222222222
"GRB",54.369179,11.083911,"Boot",3.87349397590361
"GRB",54.369179,11.083911,"Land",0.5
"GRM",54.257027,12.233995,"Boot",1.55555555555556
"GRM",54.257027,12.233995,"Land",0.705882352941177
"HAB",54.79587,9.771513,"Land",0.592592592592593
"HED",54.374535,10.197028,"Boot",3
"HED",54.374535,10.197028,"Kutter",5.09401709401709
"HEH",54.374011,10.98254,"Kutter",4.81585677749361
"HEH",54.374011,10.98254,"Land",0.166666666666667
"HEK",54.435288,10.326324,"Land",0.212121212121212
"HOF",54.384204,10.514347,"Land",0.613636363636364
"HUB",54.367653,10.581458,"Land",1.04761904761905
"KAD",54.143307,11.665158,"Boot",8.70149253731343
"KAD",54.143307,11.665158,"Land",2.15384615384615
"KAH",54.439118,11.285992,"Land",3.875
"KAP",54.65967,9.934183,"Boot",0
"KDG",54.457672,11.273832,"Land",2
"KFS",54.423105,10.396536,"Land",0.439393939393939
"KIB",54.359022,10.179748,"Boot",2.11764705882353
"KIB",54.359022,10.179748,"Land",1.16
"KIU",54.46279,9.939431,"Land",1.66666666666667
"KTB",54.670029,13.278712,"Land",1.66666666666667
"KUB",54.15327,11.765435,"Boot",3.48453608247423
"KUB",54.15327,11.765435,"Land",1.11764705882353
"LAB",54.404177,10.217088,"Boot",2.77777777777778
"LAB",54.404177,10.217088,"Kutter",3.04602510460251
"LBG",54.821367,9.654139,"Boot",1.77777777777778
"LHW",54.328225,10.658001,"Land",0.230769230769231
"MAH",54.701596,10.013646,"Boot",4.65116279069767
"MAH",54.701596,10.013646,"Kutter",7.17619047619048
"MAL",54.493122,11.242026,"Land",0
"MGH",54.188556,12.132219,"Land",1.66666666666667
"MIM",54.402758,11.142289,"Boot",3.76315789473684
"MIM",54.402758,11.142289,"Land",0.25
"MSD",54.412204,11.243207,"Land",1
"NES",54.096774,10.80999,"Boot",2.42465753424658
"OLH",54.450095,11.073264,"Boot",9
"OLH",54.450095,11.073264,"Kutter",4.25
"PRS",54.386198,10.164024,"Boot",0
"PRZ",54.448437,12.623698,"Land",0
"QUT",54.837956,9.520663,"Land",1
"REK",54.104548,11.604704,"Land",1.26760563380282
"RWM",54.111282,12.090238,"Boot",4.94871794871795
"RWM",54.111282,12.090238,"Kutter",6.7416934619507
"RWM",54.111282,12.090238,"Land",3.21739130434783
"SAN",54.503004,13.622281,"Kutter",8.33818181818182
"SBH",54.408636,11.311957,"Land",2.14285714285714
"SBY",54.56615,10.025387,"Boot",0.181818181818182
"SBY",54.56615,10.025387,"Land",0.534883720930233
"SDW",54.308005,10.745262,"Land",7.36363636363636
"SHA",54.634178,10.031412,"Land",1.70588235294118
"SID",54.066025,10.774423,"Land",2
"SOK",54.325043,11.073135,"Land",1.2
"SPD",54.512624,13.165639,"Boot",8.47107438016529
"SPD",54.512624,13.165639,"Kutter",7.80357142857143
"SRF",54.266031,11.082722,"Land",1.70588235294118
"SSS",54.434017,10.168338,"Boot",2.45833333333333
"SSS",54.434017,10.168338,"Land",1.75
"STB",54.464904,10.17639,"Land",1.72222222222222
"TDN",53.993602,10.809931,"Land",1
"THK",54.369005,10.151129,"Land",3.18181818181818
"TVM",53.956244,10.873699,"Boot",5.2
"TVM",53.956244,10.873699,"Kutter",2.75
"WAT",54.529913,11.093687,"Land",0.333333333333333
"WBD",54.485202,11.012264,"Land",0
"WET",54.419394,10.289443,"Boot",4.25
"WIB",54.147188,11.793784,"Land",1.28571428571429
"WIK",54.621472,13.285688,"Boot",17.7878787878788
"WIM",53.900488,11.438094,"Boot",4.33333333333333
"WIM",53.900488,11.438094,"Kutter",5.44086021505376
"WLH",54.524357,10.000103,"Land",1.83333333333333
"WUT",54.352103,12.38599,"Land",0.625
